id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2099738,small cozy mezzanine room,2130408,Adam,Tempelhof - SchÃ¶neberg,Tempelhof,52.46212187,13.37562984,Private room,25,2,6,5/29/2017,0.12,2,41
2099835,Cozy room close to nice spots&Metro,1156521,Denis,NeukÃ¶lln,ReuterstraÃŸe,52.48166113,13.4383059,Private room,23,3,85,11/14/2016,1.44,2,0
2104377,"Beautiful, bright and big apartment in Kreuzberg",10729306,Janina,Friedrichshain-Kreuzberg,sÃ¼dliche Luisenstadt,52.49565112,13.42693537,Entire home/apt,30,5,23,7/2/2018,0.52,1,0
2110056,Luxus apartment with view to TV tower in centrum,943996,Monika,Mitte,Alexanderplatz,52.52595006,13.41288014,Entire home/apt,70,3,61,9/16/2018,1.07,6,246
2110953, Lichtdurchflutetes Designer Loft,4065834,Dirk,Friedrichshain-Kreuzberg,sÃ¼dliche Luisenstadt,52.49420178,13.43268597,Entire home/apt,130,28,0,,,1,332
2111503,central located studio apartment,10765531,Caro,Mitte,Brunnenstr. SÃ¼d,52.53531806,13.39896826,Entire home/apt,60,2,0,,,1,0
2111678,COSY HOME in the HEART of PBERG,149093,Rob,Pankow,Prenzlauer Berg Nord,52.5497588,13.4154571,Entire home/apt,55,1,75,10/20/2018,1.27,2,76
2111828,1 room in shared flat in p-berg,6768121,Jan,Pankow,Prenzlauer Berg Nordwest,52.54761756,13.40241293,Private room,70,1,0,,,1,0
2114495,Quiet & central apartment in BERLIN MOABIT,160191,Surian,Mitte,Moabit West,52.53128902,13.31718638,Private room,20,5,3,10/30/2016,0.12,1,0
2118068,Industrial Design Apartment in heart of MItte,308441,Amit,Mitte,Alexanderplatz,52.53149303,13.37973768,Entire home/apt,76,4,140,11/5/2018,2.66,3,304
2118944,breathtaking view over Berlin ,10803524,Nadine,Charlottenburg-Wilm.,DÃ¼sseldorfer StraÃŸe,52.49980295,13.33610772,Entire home/apt,147,3,1,1/4/2015,0.02,1,0
2121535,Libra house in Charlottenburg!!!,10669110,Fabio,Charlottenburg-Wilm.,SchloÃŸ Charlottenburg,52.51833453,13.28778909,Entire home/apt,40,60,45,5/1/2016,0.76,1,98
2121972,Big room in shared flat in NeukÃ¶lln,3342144,Jenny,NeukÃ¶lln,ReuterstraÃŸe,52.4870511,13.43774467,Private room,30,4,65,8/9/2017,1.39,1,0
2125274,Apartment in Berlin SchÃ¶neberg,10840349,Marcel,Tempelhof - SchÃ¶neberg,SchÃ¶neberg-Nord,52.49595456,13.34074828,Entire home/apt,25,14,3,4/1/2014,0.05,1,0
2128928,"Flat in Prenzlauer Berg, 105 qm",10667620,Martina,Pankow,Prenzlauer Berg Nordwest,52.54988255,13.40847273,Entire home/apt,50,5,4,4/6/2017,0.07,1,0
2129714,,10851701,Lars,Mitte,Parkviertel,52.55547944,13.34323071,Entire home/apt,50,4,4,9/9/2015,0.07,1,0
2131667,Holiday apartment in Bergmannkiez,6444753,Doerthe,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48886811,13.3919617,Entire home/apt,70,3,96,11/1/2018,1.64,5,282
2133220,Beautiful Apartment in Kreuzberg,10884942,Isabell,Friedrichshain-Kreuzberg,nÃ¶rdliche Luisenstadt,52.50041737,13.43404373,Entire home/apt,150,6,4,9/15/2016,0.07,1,0
2133942,Apartment near Mauerpark,10542019,Cathrin,Mitte,Brunnenstr. SÃ¼d,52.53752924,13.39566367,Entire home/apt,69,2,139,10/24/2018,2.44,2,331
2134078,Ruhiges Zimmer nah Schlesisches Tor,10889473,Nicoletta,Treptow - KÃ¶penick,Alt  Treptow,52.49173489,13.44914029,Private room,35,22,7,9/30/2018,0.26,1,73
2137277,Modern + Renovated + Cool Kreuzberg,10692949,Suites & More,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48944259,13.42014747,Entire home/apt,89,2,171,10/29/2018,3.12,3,107
2138961,room in Loft close to Berghain !!,10914898,Anita,Friedrichshain-Kreuzberg,Karl-Marx-Allee-SÃ¼d,52.51161138,13.4489576,Private room,50,1,52,11/3/2018,1.56,1,65
2140695,Nice flat near Mauerpark,4314868,Katharina,Pankow,Prenzlauer Berg Nordwest,52.54888508,13.40259665,Entire home/apt,65,1,56,10/12/2018,1,1,68
2146646,Spacious&Sunny near Tegel Airport,10958182,Titus,Reinickendorf,West 4,52.56744938,13.31408734,Entire home/apt,80,14,0,,,1,0
2146829,Sehr helle 3-Zi-Zohnung in FHain,10639216,Daniel,Pankow,Prenzlauer Berg Ost,52.52473736,13.4556405,Entire home/apt,75,5,9,1/5/2016,0.16,1,0
